"629","Finite Element Analysis","Cybernetics","3"
"630","Religion","English","3"
"631","Plasma Physics","Elec. Eng.","4"
"634","Astronomy","Cybernetics","4"
"642","Video Gaming","Psychology","3"
"647","Service-Oriented Architectures","Comp. Sci.","4"
"656","Groups and Rings","Civil Eng.","4"
"659","Geology","Math","4"
"663","Geology","Psychology","3"
"664","Elastic Structures","English","3"
"666","Multivariable Calculus","Accounting","3"
"679","The Beatles","Math","3"
"680","Electricity and Magnetism","Civil Eng.","3"
"681","Medieval Civilization or Lack Thereof","English","3"
"692","Cat Herding","Athletics","3"
"694","Optics","Math","3"
"696","Heat Transfer","Marketing","4"
"702","Arabic","Biology","3"
"704","Marine Mammals","Geology","4"
"716","Medieval Civilization or Lack Thereof","Languages","4"
"730","Quantum Mechanics","Elec. Eng.","4"
"731","The Music of Donovan","Physics","4"
"735","Greek Tragedy","Geology","3"
"747","International Practicum","Comp. Sci.","4"
"748","Tort Law","Cybernetics","4"
"760","How to Groom your Cat","Accounting","3"
"761","Existentialism","Athletics","3"
"762","The Monkeys","History","4"
"769","Logic","Elec. Eng.","4"
"770","European History","Pol. Sci.","3"
"774","Game Programming","Cybernetics","4"
"780","Geology","Psychology","3"
"781","Compiler Design","Finance","4"
"787","C  Programming","Mech. Eng.","4"
"791","Operating Systems","Marketing","3"
"792","Image Processing","Accounting","3"
"793","Decison Support Systems","Civil Eng.","3"
"795","Death and Taxes","Marketing","3"
"802","African History","Cybernetics","3"
"804","Introduction to Burglary","Cybernetics","4"
"805","Composition and Literature","Statistics","4"
"808","Organic Chemistry","English","4"
"810","Mobile Computing","Geology","3"
"814","Compiler Design","Elec. Eng.","3"
"818","Environmental Law","Astronomy","4"
"820","Assembly Language Programming","Cybernetics","3"
"830","Sensor Networks","Astronomy","4"
"841","Fractal Geometry","Mech. Eng.","4"
"843","Environmental Law","Math","4"
"852","World History","Athletics","4"
"857","UNIX System Programmming","Geology","4"
"858","Sailing","Math","4"
"864","Heat Transfer","Geology","3"
"867","The IBM 360 Architecture","History","3"
"875","Bioinformatics","Cybernetics","3"
"877","Composition and Literature","Biology","4"
"887","Latin","Mech. Eng.","3"
"893","Systems Software","Cybernetics","3"
"897","How to Succeed in Business Without Really Trying","Languages","4"
"898","Petroleum Engineering","Marketing","4"
"902","Existentialism","Finance","3"
"919","Computability Theory","Math","3"
"922","Microeconomics","Finance","4"
"927","Differential Geometry","Cybernetics","4"
"947","Real-Time Database Systems","Accounting","3"
"949","Japanese","Comp. Sci.","3"
"958","Fiction Writing","Mech. Eng.","3"
"959","Bacteriology","Physics","4"
"960","Tort Law","Civil Eng.","3"
"962","Animal Behavior","Psychology","3"
"963","Groups and Rings","Languages","4"
"966","Sanitary Engineering","History","3"
"969","The Monkeys","Astronomy","4"
"972","Greek Tragedy","Psychology","4"
"974","Astronautics","Accounting","3"
"983","Virology","Languages","4"
"984","Music of the 50s","History","3"
"991","Transaction Processing","Psychology","3"
"998","Immunology","Civil Eng.","4"
